Key,Source,Context,UsedInMainMenu,NoTranslate,english
doughs_OldPaper_Base,,items,Quest - Note,--,"A handwritten note"
doughs_OldPaper_BaseDesc,,items,Quest - Note,--,"Don't.\nEat.\nYellow.\nSnow."
doughs_OldPaper_001,,items,Quest - Note,--,"A hastily handwritten note"
doughs_OldPaper_001Desc,,items,Quest - Note,--,"Bill, I think we need to talk about how your dog keeps biting me.\nI feel like biting him back. - Boe"
doughs_OldPaper_002,,items,Quest - Note,--,"A professionally handwritten note"
doughs_OldPaper_002Desc,,items,Quest - Note,--,"To: Mrs. Wight\nFrom: Mr. Zapruder, Navezgane Elementary\nMrs Wight, your son seems malnourished and is constantly begging for something to eat.\nHe appears to be losing the hair on his head!\nYou need to feed him more nutritious meals (and more healthy proteins) or I will call child services.\nThis is YOUR FINAL WARNING!"
doughs_OldPaper_003,,items,Quest - Note,--,"A piece of lined paper"
doughs_OldPaper_003Desc,,items,Quest - Note,--,"... Feb 23: I don't feel well at all.  Its like I have a constant headache and the sun hurts my eyes.\nI've been to the doctor but they say everyone has some bug.  This doesn't feel like any bug I've ever gotten before. ..."
doughs_OldPaper_004,,items,Quest - Note,--,"A scrap of newspaper"
doughs_OldPaper_004Desc,,items,Quest - Note,--,"... Fifteen more cases have appeared in the last 12 hours but it looks like the quarantine has everything under control ..."
doughs_OldPaper_005,,items,Quest - Note,--,"A scribbled paper"
doughs_OldPaper_005Desc,,items,Quest - Note,--,"(child's stick figure drawing) I fel bad an i no sthap fartin :("
doughs_OldPaper_006,,items,Quest - Note,--,"A typed note"
doughs_OldPaper_006Desc,,items,Quest - Note,--,"Mr. Yo,\nWe at the office are tired of you not doing any work.\nWe cannot keep taking in your slack.\nYou need to address this addiction you have to that stupid zombie game head on AND in your own time!\nYou have been warned too many times.\nWe're DONE! YOU ARE FIRED IMMEDIATELY!\nSigned: Zed Walker, Dishong Tower Reality."
doughs_OldPaper_007,,items,Quest - Note,--,"An almost unreadable note"
doughs_OldPaper_007Desc,,items,Quest - Note,--,"I don't feel (unreadable) like eye can. keap staight my head thoughts. this. (unreadable) hard to things more hardifulcter to wrie down. (unreadable) it is tool ate. i feed that we are not ..."
doughs_OldPaper_008,,items,Quest - Note,--,"A short note"
doughs_OldPaper_008Desc,,items,Quest - Note,--,"Pick up the kids at 4:15 so we can get packed up and out of town before they shut down the roads. Love, Steve"
doughs_OldPaper_009,,items,Quest - Note,--,"A scribbled note"
doughs_OldPaper_009Desc,,items,Quest - Note,--,"Yo, phones are down so I'm leaving this where you can find it.\nWe gotta get out before they close this town down\nI heard the only safe place from the government is to move North and hole up.\nI have food and water, just meet me at the Pass-N-Gas at 6 tonight - Spider"
doughs_OldPaper_010,,items,Quest - Note,--,"A handwritten note"
doughs_OldPaper_010Desc,,items,Quest - Note,--,"Nurse Jane, you must come in to work today. Things are getting out of hand.  We're short more people every day and I know you need the hours.\nBring an extra change of clothes as you will likely be needed here for the next 72 hours, at least. Thank you for your hard work! Dr. Green"
doughs_OldPaper_011,,items,Quest - Note,--,"A scrap of newspaper"
doughs_OldPaper_011Desc,,items,Quest - Note,--,"NavezNewz, Jan 15...with the fun and fantastic time you'll have at Boe's Motor Emporium, you'll always walk away knowing you got the best price for your trade in!\nCars? Trucks? SUV's? Those at Boe's Know all of Those!..."
doughs_OldPaper_012,,items,Quest - Note,--,"A piece of newspaper"
doughs_OldPaper_012Desc,,items,Quest - Note,--,"NavezNewz, May 1...break is occurring on the East coast and moving inland.\nLocals are saying that they have yet to know of anyone affected but they are prepared to spend a few days off of work should it come to their neck of the neighborhood..."
doughs_OldPaper_013,,items,Quest - Note,--,"A piece of newspaper"
doughs_OldPaper_013Desc,,items,Quest - Note,--,"NavezNewz, July 7...several people are still mysteriously missing in the city that remain unaccounted for.\nLOCAL NEWS: The annual Downtown Run in The Park is happening this weekend, hopefully the beautiful weather will hold out!"
doughs_OldPaper_014,,items,Quest - Note,--,"A corner of newspaper"
doughs_OldPaper_014Desc,,items,Quest - Note,--,"NavezNewz, July 11...officers quickly put down the man who approached them. It was reported that the man 35 (name not released) appeared to be eating the face of the another man behind the Shamway. Police were alerted to the area due to the screaming..."
doughs_OldPaper_015,,items,Quest - Note,--,"A scrap of newspaper"
doughs_OldPaper_015Desc,,items,Quest - Note,--,"NavezNewz, July 13...the man is currently in critical condition after suffering multiple deep lacerations to the face and arms. Doctors say recovery will be slow but they are hopeful that reconstruction surgery will allow him to live a normal life..."
doughs_OldPaper_016,,items,Quest - Note,--,"A torn newspaper"
doughs_OldPaper_016Desc,,items,Quest - Note,--,"(It's just part of a completed Daily Soduku puzzle. Ain't nobody got time for this!)"
doughs_OldPaper_017,,items,Quest - Note,--,"A scrap of newspaper"
doughs_OldPaper_017Desc,,items,Quest - Note,--,"NavezNewz, July 17...reports of more attacks from multiple parts of downtown appear to be genuine though the police are not releasing names or information relating to the alleged attacks, which all appear to be related due to reports of injuries suffered..."
doughs_OldPaper_018,,items,Quest - Note,--,"A scrap of newspaper"
doughs_OldPaper_018Desc,,items,Quest - Note,--,"NavezNewz, October 17...reports of rabid animals roaming the streets are likely to be a Halloween Hoax, says Preacher Billy Hart, who notes these things happen every year.  In other news, the GHO is issuing a warning to step up hand washing efforts in order to ..."
doughs_OldPaper_019,,items,Quest - Note,--,"A fragment of newspaper"
doughs_OldPaper_019Desc,,items,Quest - Note,--,"...colon health is one of the more overlooked medical conditions you should be aware of. Eating healthy fruits an vegetables and avoiding processed foods is one way to avoiding an unhappy colon.  Recent studies into Shamway processed canned products have shown..."
doughs_OldPaper_020,,items,Quest - Note,--,"A scrap of newspaper"
doughs_OldPaper_020Desc,,items,Quest - Note,--,"... that they don't need to learn how a car works in order to drive a car. Millenials polled said they would rather just buy a new phone or car or any gadget rather than learn to repair an existing one. Only 7% of those polled knew how to start a fire without ..."
doughs_StickyNote_Base,,items,Quest - Note,--,"A handwritten list"
doughs_StickyNote_BaseDesc,,items,Quest - Note,--,"(X) - Go to grocery store for Sham sandwiches.\n(X) - Go to hardware store. Hammer and Chainsaw.\n() - Go to movie."
doughs_StickyNote_001,,items,Quest - Note,--,"A list"
doughs_StickyNote_001Desc,,items,Quest - Note,--,"() - Go to Doctor about unending hunger pangs.\n() - Grocery shopping.\n() - Dinner with Joe."
doughs_StickyNote_002,,items,Quest - Note,--,"A checklist"
doughs_StickyNote_002Desc,,items,Quest - Note,--,"(X) - Go to Doctor about teeth clenching.\n(X) - Buy gun and ammo and hide in basement stash.\n(X) - Buy food and hide in basement stash.\n"
doughs_StickyNote_003,,items,Quest - Note,--,"A barely legible list"
doughs_StickyNote_003Desc,,items,Quest - Note,--,"(X) - Eat.\n(X) - Eat.\n(X) - Eat.\n(X) - Eat.\n(X) - Eat.\n( ) - Eat.\n"
doughs_StickyNote_004,,items,Quest - Note,--,"A sticky note"
doughs_StickyNote_004Desc,,items,Quest - Note,--,"Look up news sites about the odd breakout in Austrailia. Check if its the same as the one reported yesterday."
doughs_StickyNote_005,,items,Quest - Note,--,"Sticky paper note"
doughs_StickyNote_005Desc,,items,Quest - Note,--,"Hide the brass knuckles with the Stun Baton behind the painting in the hallway"
doughs_StickyNote_006,,items,Quest - Note,--,"A crumpled list"
doughs_StickyNote_006Desc,,items,Quest - Note,--,"Day 8. Confirmed Infected: 343. Dead: 0.\nTreatment: Isolate patient and maintain excess of Oxygen.\nTry to keep awake. Periodic IV saline for hydration.\nSome patients need to be restrained from hurting others."
doughs_StickyNote_007,,items,Quest - Note,--,"Sticky note"
doughs_StickyNote_007Desc,,items,Quest - Note,--,"Call Clint at NAV-5200 to talk about paying for his stupid biting dog."
doughs_StickyNote_008,,items,Quest - Note,--,"A crumpled note"
doughs_StickyNote_008Desc,,items,Quest - Note,--,"- NAV-1345. White car. Hit and Run\n- Man driving had brown hair and was screaming\n- Person hit got up and ran off"
doughs_StickyNote_009,,items,Quest - Note,--,"A list"
doughs_StickyNote_009Desc,,items,Quest - Note,--,"Talk to the gov. troops about:\n-When we will be allowed to leave\n-Food and water rationing\n-Unsanitary conditions\n-If the fire is going to reach us\n-Ask about Naparo Valley and if we can go there."
doughs_StickyNote_010,,items,Quest - Note,--,"Small paper note"
doughs_StickyNote_010Desc,,items,Quest - Note,--,"400 dead since yesterday\n-No one being allowed out\n-Half the town is vacant\n-Rumors Cranpow Valley was bombed\n-Stay away from Shamway headquarters"
doughs_PaperNote_Base,,items,Quest - Note,--,"A handwritten note"
doughs_PaperNote_BaseDesc,,items,Quest - Note,--,"Arlene, I know you think I'm crazy, but I went ahead and made a hiding place in the wall downstairs so we could stash our valuables\nDon't get mad! If we do this then I don't have to fill the attic with boxes again."
doughs_PaperNote_001,,items,Quest - Note,--,"A slick paper advertisement"
doughs_PaperNote_001Desc,,items,Quest - Note,--,"Tired of power outages? So ARE WE! Explore the benefits of owning your own NavezSol Solar Panels!\nJust 30 easy payments of $99, no money down for 6 months!\nRest easy knowing you will have power when YOU NEED IT!"
doughs_PaperNote_002,,items,Quest - Note,--,"A slick paper advertisement"
doughs_PaperNote_002Desc,,items,Quest - Note,--,"...Text 'Boat' to 555-42 for a chance to WIN* a FREE* BOAT*! ..."
doughs_PaperNote_003,,items,Quest - Note,--,"A carefully written note"
doughs_PaperNote_003Desc,,items,Quest - Note,--,"Darlene, we cannot go on meeting like this.\nYou're a dog person and I'm a cat person\nYou know this can never work out..."
doughs_PaperNote_004,,items,Quest - Note,--,"Paper note"
doughs_PaperNote_004Desc,,items,Quest - Note,--,"... have you see Marlene lately?\nShe won't return my texts or my calls\nWhen I go over there all she does is stay inside and look at me from the window like I'm a piece of meat.\nI'm thinking of going over there tonight and telling her to stop."
doughs_PaperNote_005,,items,Quest - Note,--,"Wet paper"
doughs_PaperNote_005Desc,,items,Quest - Note,--,"Don't.\nEat.\nYellow.\nSnow."
doughs_PaperNote_006,,items,Quest - Note,--,"Crude drawing"
doughs_PaperNote_006Desc,,items,Quest - Note,--,"(It's just a very bad pencil drawing of a dick riding another dick like a horse)"
doughs_PaperNote_007,,items,Quest - Note,--,"Missing pet flyer"
doughs_PaperNote_007Desc,,items,Quest - Note,--,"Have you seen my cat? He's orange and striped and answers to the name of King Capitan El Chomp Chomp Vittlesnackers.\nIf found, call Emma at 555-NAV-GANE"
doughs_PaperNote_008,,items,Quest - Note,--,"Missing dog flyer"
doughs_PaperNote_008Desc,,items,Quest - Note,--,"Missing Doberman.  May be sick. Call, do not attempt to capture or pet. Clint: 555-NAV-5200"
doughs_PaperNote_009,,items,Quest - Note,--,"A flyer"
doughs_PaperNote_009Desc,,items,Quest - Note,--,"It's Rayah from down the street. Sorry to bother everyone(s) but have you seen my mother, Charlotte?\nShe left the house last night around midnight and has not returned."
doughs_PaperNote_010,,items,Quest - Note,--,"A flyer"
doughs_PaperNote_010Desc,,items,Quest - Note,--,"REWARD: $100 for lost Bicycle. Color: Yellow.\nI need it back as it's really hard to get around without it.\nThanks! Call Roxy @628-1123"
doughs_GovFlyer_001,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_001Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nDue to quarantine efforts in currently in place, we are requesting you remain inside your current dwelling until informed you are allowed to leave.\nIf you need food, water, or medical supplies leave your porch light on in the front of the dwelling and we will come to you.\nDo not attempt to leave your dwelling for any reason. ..."
doughs_GovFlyer_002,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_002Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nWe are confident that the contagion situation will be under control in the next few days.  Until then, please remain inside your dwelling and do not leave for any reason.\nTo request supplies call 555-NGHO to talk to your area containment center. ... "
doughs_GovFlyer_003,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_003Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nPlease be aware that we will be placing barriers on the outskirts of town in order to check those coming/leaving the area for infection\nShould you choose to check into the Northern Secure Facility, please remember to take enough food and water to last a few days as the facilities along the way are no longer open."
doughs_GovFlyer_004,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_004Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nCurfew will be from 10PM to 6 AM. Anyone caught outside of their property during curfew hours will be detained and will not be released until curfew is over and we have had time to talk to the individual. ..."
doughs_GovFlyer_005,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_005Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nPlease report to the nearest medical facility if you have any of the following symptoms: Dry cough, shortness of breath, elevated temperature, intense cravings for protein after a full meal, trouble concentrating.\nMedical facilities will be open 24 hours to accept new patients. ..."
doughs_GovFlyer_006,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_006Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nWe are looking for volunteers who are not showing signs of infection and who are able to report to the nearest GHO checkpoint\nWe are looking for individuals who have medical skills and are comfortable with firearms."
doughs_GovFlyer_007,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_007Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nWe are looking for volunteers to serve as 'Neighborhood Watch' in order to help keep the area safe while our local police forces are handling the town borders.\nVolunteers will also help distribute food and supplies to those who are unable to leave their home.\nIf you are interested call 555-NGHO"
doughs_GovFlyer_008,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_008Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nThere have been reports of roaming animals that are very aggressive.  It is highly likely there is a rabies outbreak in this area.\nIf you see an animal acting strangely DO NOT APPROACH IT. Call 555-NGHO is you see a possible rabid animal OR if you have had contact with one."
doughs_GovFlyer_009,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_009Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nHello! You may be wondering what all the commotion is about in your area.  Simply put, the GHO (Global Health Organization) is setting up checkpoints in order to endure the safety of this area from the Zed-7 virus.\nShould any cases appear we will be available to treat them immediately, ensuring the virus will be contained ..."
doughs_GovFlyer_010,,items,Quest - Note,--,"GHO Official Notice"
doughs_GovFlyer_010Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS:\nDue to yesterday's incident, we would like to use this as a learning opportunity to make sure YOU,YOUR FAMILY, AND YOUR PETS stay inside your dwelling during curfew.\nWe cannot be responsible for the lives of people who ignore curfew. It has been put in place to protect lives, not endanger them.\nRESPECT THE CURFEW"
doughs_GovFlyer_011,,items,Quest - Note,--,"NHO Notice"
doughs_GovFlyer_011Desc,,items,Quest - Note,--,"Hello! This is just a friendly update from your local Navezgane Health Office.  We have had some reports from the Global Health Office of a few cases of a new virus that's making the rounds in your area\nThere's no need to be alarmed as it appears the virus is not very contagious, but be aware if you or your family have flu-like symptoms..."
